time,open,high,low,close,volume,trade_decision
2024-02-26 15:00:00,2027.651,2030.149,2025.115,2029.204,5080,Buy
2024-02-26 17:00:00,2027.856,2028.918,2026.582,2028.768,3644,Buy
2024-02-27 10:00:00,2036.672,2036.802,2034.702,2036.492,3663,Buy
2024-02-27 20:00:00,2030.315,2030.435,2028.778,2030.261,2968,Buy
2024-02-27 21:00:00,2030.302,2030.671,2029.897,2030.487,1530,Buy
2024-02-28 00:00:00,2030.183,2031.326,2029.2,2030.871,2460,Buy
2024-02-28 10:00:00,2024.953,2027.623,2024.567,2027.385,3858,Buy
2024-02-28 13:00:00,2029.626,2036.154,2029.181,2035.881,6442,Buy
2024-02-28 19:00:00,2031.655,2032.429,2030.934,2032.189,3232,Buy
2024-02-29 01:00:00,2034.274,2036.645,2034.252,2036.478,3022,Buy
2024-02-29 03:00:00,2036.616,2036.808,2035.281,2036.641,2346,Buy
2024-02-29 05:00:00,2035.317,2036.005,2034.436,2035.682,2506,Buy
2024-02-29 08:00:00,2037.271,2037.556,2035.597,2037.226,3784,Buy
2024-02-29 12:00:00,2030.337,2030.689,2028.157,2030.275,3729,Buy
2024-02-29 13:00:00,2030.273,2048.751,2030.245,2047.632,10920,Buy
2024-02-29 17:00:00,2044.987,2046.037,2043.373,2045.723,4157,Buy
2024-02-29 23:00:00,2044.169,2044.363,2042.978,2044.196,1535,Buy
2024-03-01 10:00:00,2046.355,2055.175,2045.954,2054.897,5083,Buy
2024-03-01 15:00:00,2046.727,2071.028,2046.727,2069.282,12390,Buy
2024-03-01 16:00:00,2069.311,2082.088,2069.311,2081.154,7680,Buy
2024-03-04 14:00:00,2091.729,2101.498,2090.492,2100.812,9163,Buy
2024-03-04 15:00:00,2100.757,2109.457,2097.59,2109.112,7382,Buy
2024-03-04 16:00:00,2109.07,2119.985,2107.691,2119.36,10143,Buy
2024-03-05 04:00:00,2113.084,2116.086,2112.7,2115.998,2601,Buy
2024-03-05 16:00:00,2126.674,2128.864,2123.734,2128.396,7894,Buy
2024-03-05 23:00:00,2127.676,2128.505,2126.871,2128.377,1510,Buy
2024-03-06 02:00:00,2125.583,2126.855,2123.959,2126.426,2886,Buy
2024-03-06 11:00:00,2125.703,2132.703,2125.63,2132.574,3885,Buy
2024-03-06 13:00:00,2134.206,2139.748,2131.512,2139.486,10477,Buy
2024-03-07 06:00:00,2154.541,2156.613,2151.577,2155.453,5429,Buy
2024-03-07 12:00:00,2156.05,2158.875,2153.963,2158.426,4594,Buy
2024-03-07 23:00:00,2158.933,2161.68,2158.755,2161.68,1843,Buy
2024-03-08 07:00:00,2161.223,2161.986,2159.121,2161.445,4399,Buy
2024-03-08 16:00:00,2177.31,2180.991,2172.294,2180.725,7395,Buy
2024-03-08 19:00:00,2174.451,2177.902,2168.378,2176.535,6618,Buy
2024-03-11 08:00:00,2182.342,2183.183,2176.673,2177.541,4905,Buy
2024-03-11 11:00:00,2177.773,2179.554,2176.518,2178.988,3852,Buy
2024-03-11 14:00:00,2181.761,2183.317,2175.527,2182.03,8156,Buy
2024-03-11 18:00:00,2179.797,2181.02,2177.204,2180.937,3937,Buy
2024-03-11 23:00:00,2181.346,2183.793,2181.267,2183.652,2771,Buy
2024-03-12 15:00:00,2162.069,2165.058,2157.629,2163.115,7613,Buy
2024-03-12 16:00:00,2163.107,2166.596,2161.551,2165.848,4827,Buy
2024-03-12 19:00:00,2153.609,2157.479,2150.567,2157.414,4075,Buy
2024-03-12 20:00:00,2157.399,2159.078,2156.219,2158.559,2074,Buy
2024-03-13 04:00:00,2159.156,2159.772,2157.324,2159.344,2659,Buy
